specI	species	main_module	food_microbiome_metabolic_module	food_microbiome_metabolic_function	food_microbiome_functional_gene	gene	DO_IRD_Fa_Ma1_1
specI_v4_00047	Cronobacter sakazakii	F3MD_DNA_metabolism	F3MD_01_DNA_replication	F3MD_01_D003_DNA_gyrase_topoisomerase	F3MD_01_D003_DNA_gyrase_supercoiling_inhibitor_sbmC	1074000.SAMEA2271931.GCA_000319325_02583	0.7009831353149418
specI_v4_00047	Cronobacter sakazakii	F3MU_uptake_transport_systems	F3MU_14_holin_and_porin_systems	F3MU_14_U102_Outer_membrane_porins	F3MU_14_U102_Outer_membrane_porin_ompC	1074000.SAMEA2271931.GCA_000319325_02807	0.8675352640712335
specI_v4_00047	Cronobacter sakazakii	F3MF_cofactors_metabolism	F3MF_07_folate_tetrahydrofolate_biosynthesis	F3MF_07_F057_Folylpolyglutamate_synthase	F3MF_07_F057_Folylpolyglutamate_synthase_folC	1074000.SAMEA2271931.GCA_000319325_02891	2.2004371267502147
specI_v4_00047	Cronobacter sakazakii	F3MA_RNA_metabolism	F3MA_01_RNA_transcription	F3MA_01_R003_RNA_polymerase_stringent_factor_ppGpp_synthetase	F3MA_01_R003_Stringent_factor_ppGpp_synthetase_I_relA	1074000.SAMEA2271931.GCA_000319325_03457	0.4326380288271906
specI_v4_00047	Cronobacter sakazakii	F3MT_translation_and_posttranslation_processes	F3MT_09_general_protein_chaperones	F3MT_09_T044_Efficient_protein_folding_complex_proteins	F3MT_09_T044_Protein_refolding_groL	1074000.SAMEA2271931.GCA_000319325_03784	1.2585833565881912
specI_v4_00047	Cronobacter sakazakii	F3MC_carbohydrate_metabolism	F3MC_14_glycogen_synthesis	F3MC_14_C084_Bacterial_glycogen_starch_synthase	F3MC_14_C084_Bacterial_glycogen_starch_synthase_glgA	1074000.SAMEA2271931.GCA_000319325_04043	0.6951171676554025
specI_v4_00047	Cronobacter sakazakii	F3MN_amino_acid_nitrogen_metabolism	F3MN_18_proteins_catabolic_pathways	F3MN_18_N124_Intracellular_protease_pfpI	F3MN_18_N124_Intracellular_protease_pfpI	1074000.SAMEA2271931.GCA_000319325_04947	1.9206127522501877
specI_v4_00047	Cronobacter sakazakii	F3MT_translation_and_posttranslation_processes	F3MT_04_Ribosome_biosynthesis	F3MT_04_T028_Ribosomal_proteins_modifications	F3MT_04_T028_Ribosomal_protein_L11_methyltransferase_PrmA_rsmC	1074000.SAMEA2271931.GCA_000319325_05128	0.9687055572573832
specI_v4_00746	Acinetobacter schindleri	F3MT_translation_and_posttranslation_processes	F3MT_02_Ribosome_biosynthesis	F3MT_02_T026_Ribosomal_proteins	F3MT_02_T026_Ribosomal_protein_S1_rpsA	108981.SAMN08942761.GCA_003069395_02123	0.5943935709110598
specI_v4_00746	Acinetobacter schindleri	F3MP_pyruvate_dissimilation	F3MP_12_glycolate_catabolism	F3MP_12_Gycerate_2-kinase	F3MP_12_P040_Gycerate_2-kinase_garK	108981.SAMN12478520.GCA_010919095_01095	1.7441785099174931
specI_v4_00301	Lactococcus petauri	F3MF_cofactors_metabolism	F3MF_02_riboflavin_biosynthesis	F3MF_02_F018_5-amino-6-5-phospho-D-ribitylamino-uracil_phosphatase	F3MF_02_F018_5-amino-6-5-phospho-D-ribitylamino-uracil_phosphatase_ycsE	1091040.SAMN02471887.GCA_000236515_00050	1.2306148375528978
specI_v4_00537	Leuconostoc citreum	F3MT_translation_and_posttranslation_processes	F3MT_06_chaperone_proteases	F3MT_06_T037_ATP-dependent_Lon_serine_proteases	F3MT_06_T037_ATP-dependent_Lon_serine_protease_lon1	1108974.SAMEA2272656.GCA_000239895_00981	0.4660112288068477
specI_v4_01426	Companilactobacillus paralimentarius	F3MR_redox	F3MR_04_respiratory_chain	F3MR_04_NADH_dehydrogenase_II	F3MR_04_R030_NADH_dehydrogenase_II_ndh	1122151.SAMD00012331.GCA_000615725_00254	0.839055571058794
specI_v4_01426	Companilactobacillus paralimentarius	F3MU_uptake_transport_systems	F3MU_11_inorganic_ions_ABC_transport_systems	F3MU_11_U090_phosphate_phosphonate_ABC_transport_systems	F3MU_11_U090_Phosphate_ABC_transport_system_ATP-binding_protein_pstB	1122151.SAMD00012331.GCA_000615725_00497	2.5076679708625087
specI_v4_01426	Companilactobacillus paralimentarius	F3MN_amino_acid_nitrogen_metabolism	F3MN_23_lysine_aminopimelate_biosynthesis	F3MN_23_N156_Diaminopimelate_decarboxylase	F3MN_23_N156_Diaminopimelate_decarboxylase_lysA	1122151.SAMD00012331.GCA_000615725_00639	1.4702035669879754
specI_v4_01426	Companilactobacillus paralimentarius	F3MU_uptake_transport_systems	F3MU_11_inorganic_ions_transport_systems	F3MU_11_U098_sodium_proton_transport_systems	F3MU_11_U098_Na+_H+_antiporter_nhaP	1122151.SAMD00012331.GCA_000615725_00751	0.4693022685583085
specI_v4_01426	Companilactobacillus paralimentarius	F3MB_nucleotide_metabolism	F3MB_01_purine_biosynthesis	F3MB_01_B004_Phosphoribosylformylglycinamide_synthetase	F3MB_01_B004_Phosphoribosylformylglycinamide_synthetase_1_purL	1122151.SAMD00012331.GCA_000615725_01010	0.4508358292256206
specI_v4_01426	Companilactobacillus paralimentarius	F3MB_nucleotide_metabolism	F3MB_01_purine_biosynthesis	F3MB_01_B004_Phosphoribosylformylglycinamide_synthetase	F3MB_01_B004_Phosphoribosylformylglycinamide_synthetase_2_purQ	1122151.SAMD00012331.GCA_000615725_01011	0.4944434615167893
